10,"H","ABRAHAM LINCOLN HIGH SCHOOL",880,"DENVER COUNTY 1","",0,"","9th Grade","12th Grade","Improvement Plan","Improvement Plan","",2,0,5,285,3,3,5,3,2,7,7,6,7,65.9,3,2,1,0,0,0,0,1930,0.009326425,0.029015544,0.00984456,0.916580311,0.031606218,0.000518135,0.003108808,"93.0%",0.785714
11,"E","ACADEMY CHARTER SCHOOL",900,"DOUGLAS COUNTY RE 1","",0,"Charter","Kindergarten","9th Grade","Performance Plan","Performance Plan","",1,0,12,102,10,9,12,9,9,12,12,12,6,NA,3,2,2,NA,NA,NA,NA,700,0.002857143,0.021428571,0.002857143,0.104285714,0.835714286,0,0.032857143,"8.0%",NA
11,"M","ACADEMY CHARTER SCHOOL",900,"DOUGLAS COUNTY RE 1","",0,"Charter","Kindergarten","9th Grade","Performance Plan","Performance Plan","",1,0,13,28,11,11,10,10,12,12,9,12,11,NA,3,3,3,NA,NA,NA,NA,700,0.002857143,0.021428571,0.002857143,0.104285714,0.835714286,0,0.032857143,"8.0%",NA
12,"E","ACRES GREEN ELEMENTARY SCHOOL",900,"DOUGLAS COUNTY RE 1","",0,"","Pre-Kindergarten","6th Grade","Performance Plan","Performance Plan","",1,0,11,142,9,9,9,9,8,10,12,7,10,NA,2,2,2,NA,NA,NA,NA,689,0.005805515,0.133526851,0.021770682,0.139332366,0.648766328,0,0.050798258,"17.6%",NA
14,"E","GLACIER PEAK ELEMENTARY SCHOOL",20,"ADAMS 12 FIVE STAR SCHOOLS","",0,"","Kindergarten","5th Grade","Performance Plan","Performance Plan","",1,0,7,517,6,6,7,6,6,7,7,6,7,NA,2,3,2,NA,NA,NA,NA,525,0,0.022857143,0.005714286,0.356190476,0.603809524,0,0.011428571,"32.8%",NA
15,"E","ACADEMY OF CHARTER SCHOOLS",20,"ADAMS 12 FIVE STAR SCHOOLS","",0,"Charter","Kindergarten","12th Grade","Performance Plan","Performance Plan","",1,0,8,501,9,9,9,9,6,7,8,7,6,NA,2,2,2,NA,NA,NA,NA,1306,0.003062787,0.025267994,0.006891271,0.250382848,0.706738132,0.001531394,0.006125574,"15.5%",NA
15,"H","ACADEMY OF CHARTER SCHOOLS",20,"ADAMS 12 FIVE STAR SCHOOLS","",0,"Charter","Kindergarten","12th Grade","Performance Plan","Performance Plan","",2,0,6,223,6,7,6,6,5,6,6,7,5,78.5,3,3,2,1,0,0,0,1306,0.003062787,0.025267994,0.006891271,0.250382848,0.706738132,0.001531394,0.006125574,"15.5%",NA
15,"M","ACADEMY OF CHARTER SCHOOLS",20,"ADAMS 12 FIVE STAR SCHOOLS","",0,"Charter","Kindergarten","12th Grade","Improvement Plan","Improvement Plan","",1,0,5,1109,6,6,6,7,5,3,1,5,3,NA,2,2,1,NA,NA,NA,NA,1306,0.003062787,0.025267994,0.006891271,0.250382848,0.706738132,0.001531394,0.006125574,"15.5%",NA
16,"E","FOX HOLLOW ELEMENTARY SCHOOL",130,"CHERRY CREEK 5","",0,"","Pre-Kindergarten","5th Grade","Performance Plan","Performance Plan","",1,0,10,210,10,9,12,10,9,9,10,9,8,NA,2,2,1,NA,NA,NA,NA,877,0.006841505,0.157354618,0.055872292,0.111744584,0.619156214,0,0.049030787,"11.5%",NA
17,"E","ACADEMY ENDEAVOUR ELEMENTARY SCHOOL",1040,"ACADEMY 20","",0,"","Kindergarten","5th Grade","Performance Plan","Performance Plan","",1,0,9,375,10,10,10,9,10,7,7,7,6,NA,2,2,2,NA,NA,NA,NA,622,0.001607717,0.049839228,0.04340836,0.162379421,0.68488746,0.006430868,0.051446945,"16.1%",NA
18,"M","LIBERTY MIDDLE SCHOOL",130,"CHERRY CREEK 5","",0,"","6th Grade","8th Grade","Performance Plan","Performance Plan","",1,0,6,884,8,9,6,10,8,6,7,3,7,NA,2,2,2,NA,NA,NA,NA,1065,0.003755869,0.103286385,0.090140845,0.149295775,0.615962441,0.002816901,0.034741784,"19.1%",NA
19,"E","ACADEMY INTERNATIONAL ELEMENTARY SCHOOL",1040,"ACADEMY 20","",0,"","Pre-Kindergarten","5th Grade","Performance Plan","Performance Plan","",1,0,12,42,12,12,12,12,12,9,9,9,8,NA,2,2,2,NA,NA,NA,NA,740,0.001351351,0.095945946,0.05,0.114864865,0.675675676,0.006756757,0.055405405,"7.8%",NA
20,"M","ADAMS CITY MIDDLE SCHOOL",30,"ADAMS COUNTY 14","",0,"","6th Grade","8th Grade","Improvement Plan","Improvement Plan","",1,0,5,1192,3,3,3,3,6,6,6,7,3,NA,3,2,3,NA,NA,NA,NA,717,0.006973501,0.0013947,0.018131102,0.775453278,0.185495119,0,0.012552301,"90.0%",NA
22,"H","LESTER R ARNOLD HIGH SCHOOL",30,"ADAMS COUNTY 14","",0,"","9th Grade","12th Grade","Priority Improvement Plan","Priority Improvement Plan","",2,0,2,338,1,3,1,2,1,3,6,1,6,34.1,NA,NA,1,0,0,0,0,160,0.025,0.00625,0.03125,0.7625,0.175,0,0,"51.3%",NA
24,"H","ADAMS CITY HIGH SCHOOL",30,"ADAMS COUNTY 14","",0,"","9th Grade","12th Grade","Turnaround Plan","Turnaround Plan","",2,0,1,337,2,3,5,3,2,1,3,3,1,69.8,1,2,3,0,0,0,0,1695,0.009439528,0.003539823,0.033628319,0.815929204,0.136873156,0,0.000589971,"73.7%",0.569231
25,"M","SKY VIEW MIDDLE SCHOOL",2700,"PUEBLO COUNTY 70","",0,"","6th Grade","8th Grade","Performance Plan","Performance Plan","",1,0,6,778,6,7,6,7,7,6,6,6,7,NA,2,3,2,NA,NA,NA,NA,610,0.008196721,0.009836066,0.014754098,0.257377049,0.686885246,0,0.02295082,"23.1%",NA
26,"E","DESERT SAGE ELEMENTARY SCHOOL",2700,"PUEBLO COUNTY 70","",0,"","Pre-Kindergarten","5th Grade","Performance Plan","Performance Plan","",1,0,6,878,7,6,9,6,7,6,3,8,6,NA,2,1,1,NA,NA,NA,NA,433,0.009237875,0.004618938,0.025404157,0.387990762,0.563510393,0,0.009237875,"45.7%",NA
29,"H","ADULT & FAMILY LITERACY",980,"HARRISON 2","",1,"","10th Grade","12th Grade","Alternative Ed. Campus","Improvement Plan","",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,23,0,0,0.173913043,0.652173913,0.130434783,0,0.043478261,"4.3%",NA
30,"E","ADAMS ELEMENTARY SCHOOL",1420,"JEFFERSON COUNTY R-1","",0,"","Pre-Kindergarten","6th Grade","Performance Plan","Performance Plan","",1,0,9,231,9,9,9,8,9,9,9,9,7,NA,2,2,3,NA,NA,NA,NA,505,0.007920792,0.089108911,0.013861386,0.17029703,0.667326733,0.001980198,0.04950495,"33.5%",NA
33,"H","MC LAIN HIGH SCHOOL",1420,"JEFFERSON COUNTY R-1","",1,"","7th Grade","12th Grade","Alternative Ed. Campus","Improvement Plan","",2,0,3,331,5,5,5,6,4,5,6,3,6,43.9,3,1,1,0,0,0,0,377,0.01061008,0.013262599,0.015915119,0.25729443,0.681697613,0.00265252,0.018567639,"40.8%",0.545455
34,"H","MC LAIN COMMUNITY HIGH SCHOOL",1420,"JEFFERSON COUNTY R-1","",0,"","8th Grade","12th Grade","Turnaround Plan","Improvement Plan","Approved request to reconsider (program within school)",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,2,NA,NA,NA,NA,168,0.029761905,0.023809524,0,0.321428571,0.595238095,0.005952381,0.023809524,"15.5%",NA
35,"E","FRONTIER CHARTER ACADEMY",970,"CALHAN RJ-1","",0,"Charter","Kindergarten","8th Grade","Priority Improvement Plan","Priority Improvement Plan","",1,1,NA,NA,NA,6,6,6,NA,1,3,1,1,NA,2,1,3,NA,NA,NA,NA,65,0,0,0,0.107692308,0.846153846,0,0.046153846,"43.1%",NA
35,"M","FRONTIER CHARTER ACADEMY",970,"CALHAN RJ-1","",0,"Charter","Kindergarten","8th Grade","Performance Plan","Performance Plan","",1,1,NA,NA,NA,12,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,0,0,0,0.107692308,0.846153846,0,0.046153846,"43.1%",NA
37,"E","RED HILL ELEMENTARY SCHOOL",910,"EAGLE COUNTY RE 50","",0,"","Kindergarten","5th Grade","Performance Plan","Performance Plan","",1,0,7,618,6,6,7,6,6,8,9,6,9,NA,2,2,2,NA,NA,NA,NA,407,0.012285012,0.007371007,0,0.577395577,0.395577396,0,0.007371007,"45.9%",NA
38,"E","BRUSH CREEK ELEMENTARY SCHOOL",910,"EAGLE COUNTY RE 50","",0,"","Pre-Kindergarten","5th Grade","Performance Plan","Performance Plan","",1,0,9,399,10,10,12,9,9,8,9,6,9,NA,2,3,2,NA,NA,NA,NA,501,0.001996008,0.007984032,0.001996008,0.173652695,0.80239521,0,0.011976048,"16.3%",NA
39,"M","GYPSUM CREEK MIDDLE SCHOOL",910,"EAGLE COUNTY RE 50","",0,"","6th Grade","8th Grade","Performance Plan","Performance Plan","",1,0,12,61,8,8,6,9,9,13,12,12,12,NA,3,2,2,NA,NA,NA,NA,334,0.008982036,0.008982036,0.002994012,0.643712575,0.317365269,0.002994012,0.01497006,"56.3%",NA
40,"H","RIDGE VIEW ACADEMY CHARTER SCHOOL",880,"DENVER COUNTY 1","",1,"Charter","9th Grade","12th Grade","Alternative Ed. Campus","Performance Plan","Deferred to district rating",2,0,5,300,2,3,3,3,3,9,7,9,10,9.8,2,1,1,0,0,0,0,333,0.015015015,0.015015015,0.27027027,0.351351351,0.348348348,0,0,"100.0%",NA
